feature,Annotation_Confidence_MSI4,Area_CV_percent_CD
RP_0.927_273.94936,,65.1186601411376
RP_0.929_239.96641,L4,101.53830211789
RP_0.933_143.00147,L3,60.1373770645034
RP_0.933_229.8929,,111.132577438589
RP_0.934_228.89442,,107.252948117936
RP_0.934_231.89327,,58.5585298140191
RP_1.018_147.11272,L1,146.150451352802
RP_1.042_436.85862,,74.9701896104446
RP_1.043_650.84972,,131.20679078995
RP_1.043_718.83707,,141.475139677513
RP_1.043_916.78115,L3,88.7386963781941
RP_1.044_232.89642,,85.5571168937685
RP_1.044_297.87825,,63.6699512288668
RP_1.04_304.94102,,79.3447762260914
RP_1.061_180.08655,L4,81.8676115545846
RP_1.067_182.1022,L3,245.640074633565
RP_1.077_161.98476,,129.766861605127
RP_1.092_356.15498,L4,1056.85579333118
RP_1.125_383.16589,,115.311968722242
RP_1.132_623.84171,,93.2759586278427
RP_1.133_881.71923,,122.249483397594
RP_1.134_485.89754,L4,86.7594903073695
RP_1.134_487.89406,,86.5125374147435
RP_1.137_683.80839,,103.651503061725
RP_1.141_545.86436,L4,89.8481025762208
RP_1.141_743.77511,,112.118169536289
RP_1.149_605.83114,,90.8446961212658
RP_1.14_106.04974,L1,114.231327021389
RP_1.154_269.91818,,86.4277309701868
RP_1.154_552.7844,,82.9982958695185
RP_1.154_90.06613,L3,141.040528733193
RP_1.155_469.88348,,84.7451718449965
RP_1.156_219.13376,L4,255.010578440312
RP_1.156_467.88687,L4,85.7727857182437
RP_1.157_470.88285,,83.2706795389879
RP_1.159_665.79786,,89.7176732653535
RP_1.15_803.74184,,97.9103037064462
RP_1.169_134.04463,L1,134.487659111371
RP_1.173_527.85374,,87.6761093549894
RP_1.179_90.05489,L1,125.434462308702
RP_1.184_147.07629,L1,162.553223314465
RP_1.184_84.04432,L4,111.061511723938
RP_1.185_249.00137,L4,158.674938807351
RP_1.191_122.06328,L4,262.9341244878
RP_1.192_229.92736,,145.244980338096
RP_1.194_98.98406,L3,252.226048090256
