year,month,site,depth,d13CH4,d13CO2,alpha,CH4mM,CO2mM,corrCO2CH4
2022,July,PlotT3F,25,-60.7,-9.3,1.1,0.3,4.1,2.1
2022,July,PlotT3F,50,-69.5,-2.7,1.1,0.3,4.4,1.9
2022,July,PlotT3F,75,-69,-1.6,1.1,0.5,4.7,1.8
2022,July,PlotT3F,100,-69.7,1.5,1.1,0.8,5.5,1.6
2022,July,PlotT3F,150,-69.7,3.5,1.1,1,5.8,1.5
2022,July,PlotT3F,150,-69.9,3.4,1.1,1.1,5.8,1.5
2022,July,PlotT3F,200,-70.8,2,1.1,1.1,5.3,1.6
2022,July,PlotT3F,200,-70.5,2.1,1.1,1.1,5.1,1.6
2022,July,Plot4,25,-66.6,-9.9,1.1,0.6,3.3,2.5
2022,July,Plot4,50,-73.1,-3,1.1,0.6,4.5,2
2022,July,Plot4,50,-72.9,-2.8,1.1,0.7,4.4,2
2022,July,Plot4,75,-70.9,0.7,1.1,0.8,5.3,1.7
2022,July,Plot4,75,-71,0.7,1.1,0.8,5.4,1.7
2022,July,Plot4,100,-68.1,4.4,1.1,1.1,6,1.4
2022,July,Plot4,100,-68.1,4.5,1.1,1.1,6,1.4
2022,July,Plot4,150,-69.7,3.8,1.1,1,5.7,1.5
2022,July,Plot4,150,-69.4,3.7,1.1,1.2,5.6,1.5
2022,July,Plot4,200,-69.7,2.2,1.1,0.6,3.6,1.6
2022,July,Plot4,200,-69.5,2.3,1.1,1.1,5.3,1.5
2022,July,Plot6,25,-77,-14.5,1.1,0.2,1.5,4.4
2022,July,Plot6,25,-77.1,-14.5,1.1,0.2,1.6,4.4
2022,July,Plot6,50,-79.6,-8.7,1.1,0.3,1.9,3.1
2022,July,Plot6,50,-79.4,-8.5,1.1,0.4,1.9,3.1
2022,July,Plot6,75,-76.5,-3.2,1.1,0.5,2.5,2.2
2022,July,Plot6,75,-75.5,-3.8,1.1,0.4,2.3,2.2
2022,July,Plot6,100,-73.1,0.5,1.1,0.8,4.3,1.8
2022,July,Plot6,100,-73.1,0.2,1.1,0.8,4.2,1.8
2022,July,Plot6,150,-73.1,1.2,1.1,0.9,5.3,1.7
2022,July,Plot6,150,-72.8,1.3,1.1,0.9,5,1.7
2022,July,Plot6,200,-73,0.8,1.1,0.9,5.1,1.8
2022,July,Plot6,200,-73.2,1,1.1,1,5.3,1.7
2022,July,Plot8,25,-59.8,-12.4,1.1,0.4,3.1,2.5
2022,July,Plot8,25,-61,-11.9,1.1,0.5,3.5,2.5
2022,July,Plot8,50,-67.1,-8.9,1.1,0.6,5.2,2.4
2022,July,Plot8,50,-66.7,-9,1.1,0.6,4.7,2.4
2022,July,Plot8,75,-71.8,-1,1.1,0.6,4.7,1.8
2022,July,Plot8,75,-71.7,-1,1.1,0.6,4.7,1.8
2022,July,Plot8,100,-67.9,3.4,1.1,0.9,5.1,1.4
2022,July,Plot8,100,-68.3,3.6,1.1,0.9,5.4,1.4
2022,July,Plot8,150,-67.3,5.4,1.1,1,5.5,1.3
2022,July,Plot8,150,-67.3,5.5,1.1,1.2,5.6,1.3
