SPRUCE_ID,anoxic,oxic,both,Specialist_phenol_decomposition
SPRUCE 1,1,9,NA,Oxic_phenol_decomposition
SPRUCE 109,12,29,1,Oxic_phenol_decomposition
SPRUCE 112,6,21,NA,Oxic_phenol_decomposition
SPRUCE 116,8,8,1,Ambivalent_phenol_decomposition
SPRUCE 122,4,9,NA,Oxic_phenol_decomposition
SPRUCE 124,10,23,1,Oxic_phenol_decomposition
SPRUCE 129,14,11,NA,Ambivalent_phenol_decomposition
SPRUCE 131,5,5,NA,Ambivalent_phenol_decomposition
SPRUCE 139,7,11,1,Oxic_phenol_decomposition
SPRUCE 140,8,31,NA,Oxic_phenol_decomposition
SPRUCE 154,3,6,NA,Oxic_phenol_decomposition
SPRUCE 156,5,14,NA,Oxic_phenol_decomposition
SPRUCE 158,6,19,NA,Oxic_phenol_decomposition
SPRUCE 160,8,25,NA,Oxic_phenol_decomposition
SPRUCE 164,9,38,NA,Oxic_phenol_decomposition
SPRUCE 167,6,19,1,Oxic_phenol_decomposition
SPRUCE 170,4,9,NA,Oxic_phenol_decomposition
SPRUCE 171,16,61,1,Oxic_phenol_decomposition
SPRUCE 173,8,5,1,Anoxic_phenol_decomposition
SPRUCE 174,7,25,NA,Oxic_phenol_decomposition
SPRUCE 176,7,12,1,Oxic_phenol_decomposition
SPRUCE 179,8,6,NA,Ambivalent_phenol_decomposition
SPRUCE 181,7,8,1,Ambivalent_phenol_decomposition
SPRUCE 185,3,6,NA,Oxic_phenol_decomposition
SPRUCE 190,6,7,NA,Ambivalent_phenol_decomposition
SPRUCE 2,11,20,1,Oxic_phenol_decomposition
SPRUCE 200,1,8,NA,Oxic_phenol_decomposition
SPRUCE 202,11,21,NA,Oxic_phenol_decomposition
SPRUCE 2020,2,7,NA,Oxic_phenol_decomposition
SPRUCE 2021,0,2,NA,Oxic_phenol_decomposition
SPRUCE 2022,2,1,NA,Anoxic_phenol_decomposition
SPRUCE 2024,4,8,NA,Oxic_phenol_decomposition
SPRUCE 2026,4,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2028,4,6,NA,Oxic_phenol_decomposition
SPRUCE 2036,9,13,NA,Ambivalent_phenol_decomposition
SPRUCE 2037,6,14,NA,Oxic_phenol_decomposition
SPRUCE 2038,9,32,1,Oxic_phenol_decomposition
SPRUCE 2039,7,25,1,Oxic_phenol_decomposition
SPRUCE 2040,6,11,NA,Oxic_phenol_decomposition
SPRUCE 2041,7,14,NA,Oxic_phenol_decomposition
SPRUCE 2042,9,25,NA,Oxic_phenol_decomposition
SPRUCE 2043,11,41,1,Oxic_phenol_decomposition
SPRUCE 2045,8,14,NA,Oxic_phenol_decomposition
SPRUCE 2046,8,46,2,Oxic_phenol_decomposition
SPRUCE 2047,7,24,NA,Oxic_phenol_decomposition
SPRUCE 2048,5,15,NA,Oxic_phenol_decomposition
SPRUCE 2049,7,19,NA,Oxic_phenol_decomposition
SPRUCE 205,8,15,NA,Oxic_phenol_decomposition
SPRUCE 2050,7,27,NA,Oxic_phenol_decomposition
SPRUCE 2051,8,13,1,Oxic_phenol_decomposition
SPRUCE 2052,3,9,NA,Oxic_phenol_decomposition
SPRUCE 2053,12,25,2,Oxic_phenol_decomposition
