Phylum,color
Dormibacterota,#0000FF
Eremiobacterota,#FF0000
Actinobacteriota,#00FF00
FCPU426,#000033
Chlamydiota,#FF00B6
Bacteroidota,#005300
Spirochaetota,#FFD300
Fibrobacterota,#009FFF
Desulfobacterota,#9A4D42
Omnitrophota,#00FFBE
Chloroflexota,#783FC1
Micrarchaeota,#1F9698
Thermoproteota,#FFACFD
Thermoplasmatota,#B1CC71
Methanobacteriota,#F1085C
Halobacteriota,#FE8F42
Planctomycetota,#DD00FF
Verrucomicrobiota,#201A01
Acidobacteriota,#720055
Bdellovibrionota,#766C95
Desulfobacterota_B,#02AD24
Myxococcota,#C8FF00
Proteobacteria,#886C00
