compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Peptides,Amino acid vs peptide,Temp_avg_top,144,25,119,-0.09537381256384644,0.047292996187160014,0.0016279746589040948,0.002441961988356142,1.6901215188583996e-15,2.9976021664879227e-15,2.559106730134256e-24,3.838660095201384e-24
Amino acids,Amino acid vs peptide,Temp_avg_top,140,59,81,-0.058739536390411906,0.04389611102399063,0.14941173307878428,0.14941173307878428,0.0021739219305697602,0.0021739219305697602,1.4824758055427745e-4,1.4824758055427745e-4
Peptides,Amino acid vs peptide,WT_drawdown,144,9,135,-0.48065633716939826,-0.11171807319759114,9.17286355811759e-58,1.3759295337176385e-57,2.0809946638197546e-31,3.1214919957296317e-31,1.741939617352418e-15,2.612909426028627e-15
Amino acids,Amino acid vs peptide,WT_drawdown,140,35,105,-0.1933036378848671,-0.11816005816358346,1.9900819334261214e-14,1.9900819334261214e-14,0.07064806069304433,0.07064806069304433,0.03164018089453744,0.03164018089453744
Carbohydrates,Carbohydrates,Temp_avg_top,34,12,22,-0.0692093996991176,0.04308138371993747,0.5203571701829,0.5203571701829,0.0015647538477361598,0.0015647538477361598,0.008873285427251895,0.008873285427251895
Carbohydrates,Carbohydrates,WT_drawdown,34,22,12,0.10443208985099166,-0.12159963519951936,0.0019521826182864466,0.0019521826182864466,1.0970130747223195e-4,1.0970130747223195e-4,1.882295087323817e-4,1.882295087323817e-4
Carboxylic acids and derivatives,Class,Temp_avg_top,313,107,206,-0.07867332155821918,0.06121528546653762,0.43747931673972784,0.5508998803389166,4.96652175136497e-13,1.6886173954640896e-11,5.311844682040175e-24,1.8060271918936596e-22
Prenol lipids,Class,Temp_avg_top,122,98,24,0.12288297312198687,0.03056111513522505,0.4158508622215472,0.5508998803389166,1.5952117404793853e-8,2.711859958814955e-7,4.669404951633577e-9,7.93798841777708e-8
Isoflavonoids,Class,Temp_avg_top,8,8,0,0.28797855046823967,0.039281854261217254,0.07989525623231475,0.27164387118987016,1.5872603547051334e-4,0.0017988950686658178,0.011753060263203413,0.0799208097897832
2-arylbenzofuran flavonoids,Class,Temp_avg_top,9,9,0,0.13616033040454248,0.039177627275305535,3.444103141903021e-6,1.1709950682470271e-4,0.007242265248969426,0.06155925461624012,0.006459062310954841,0.05989237067116254
Epoxides,Class,Temp_avg_top,8,1,7,-0.15298924038493134,0.040993873339274386,0.1836403025911414,0.41625135253992046,0.013169934800218797,0.08444653937958777,0.024696495200526462,0.13783367721222375
Diazanaphthalenes,Class,Temp_avg_top,11,8,3,0.35670917546152814,0.0395836171137032,0.039052564867885775,0.15505779577670412,0.01490233047875078,0.08444653937958777,0.36926726296605983,0.627460601688138
