X,Drought_ID,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID,Drought_MAG_match,anoxic,oxic,Specialist_phenol_decomposition,phenol_active_genes
 38,Peat-10-2-2022_S42-idba_concoct.73_sub,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,,,SPRUCE 2057,Peat.10.2.2022_S42.idba_concoct.73_sub,11,31,Oxic_phenol_decomposition,42
 40,Peat-10-2-2022_S42-idba_maxbin.019_sub,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,,SPRUCE 2059,Peat.10.2.2022_S42.idba_maxbin.019_sub,11,26,Oxic_phenol_decomposition,37
123,Peat-13-2-2022_S44-spades_metabat.66,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,Binatus sp003135135,SPRUCE 224,Peat.13.2.2022_S44.spades_metabat.66,10,13,Ambivalent_phenol_decomposition,23
100,Peat-11-2-2022_S43-spades_metabat.1,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,,SPRUCE 401,Peat.11.2.2022_S43.spades_metabat.1,10,20,Oxic_phenol_decomposition,30
259,Peat-6-2-2021_S30-idba_metabat.13,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,PALSA-1152,,SPRUCE 2278,Peat.6.2.2021_S30.idba_metabat.13,9,17,Oxic_phenol_decomposition,26
252,Peat-6-2-2020_S21-idba_concoct.96,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 643,Peat.6.2.2020_S21.idba_concoct.96,4,5,Ambivalent_phenol_decomposition,9
186,Peat-19-2-2021_S37-idba_concoct.82_sub,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 451,Peat.19.2.2021_S37.idba_concoct.82_sub,6,12,Oxic_phenol_decomposition,18
290,Peat-8-2-2021_S31-idba_concoct.75,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 2309,Peat.8.2.2021_S31.idba_concoct.75,8,14,Oxic_phenol_decomposition,22
137,Peat-16-2-2021_S35-spades_concoct.26,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 2156,Peat.16.2.2021_S35.spades_concoct.26,10,22,Oxic_phenol_decomposition,32
226,Peat-20-2-2021_S38-spades_concoct.90,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 2245,Peat.20.2.2021_S38.spades_concoct.90,5,13,Oxic_phenol_decomposition,18
 64,Peat-11-2-2020_S24-idba_concoct.33,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 2083,Peat.11.2.2020_S24.idba_concoct.33,4,15,Oxic_phenol_decomposition,19
 17,Peat-10-2-2020_S23-idba_metabat.4,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,SPRUCE 2036,Peat.10.2.2020_S23.idba_metabat.4,9,13,Ambivalent_phenol_decomposition,22
289,Peat-8-2-2021_S31-idba_concoct.69_sub,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,JABFXX01,,SPRUCE 2308,Peat.8.2.2021_S31.idba_concoct.69_sub,3,13,Oxic_phenol_decomposition,16
284,Peat-8-2-2020_S22-idba_metabat.36,Bacteria,Myxococcota,Polyangia,Palsa-1104_A,Fen-1088,Fen-1137,,SPRUCE 39,Peat.8.2.2020_S22.idba_metabat.36,5,8,Oxic_phenol_decomposition,13
 67,Peat-11-2-2020_S24-idba_metabat.42,Bacteria,Myxococcota,Polyangia,Palsa-1104_A,Fen-1088,Fen-1118,,SPRUCE 2086,Peat.11.2.2020_S24.idba_metabat.42,7,8,Ambivalent_phenol_decomposition,15
 78,Peat-11-2-2021_S33-idba_concoct.99_sub,Bacteria,Myxococcota,Polyangia,Palsa-1104_A,Fen-1088,Fen-1118,,SPRUCE 190,Peat.11.2.2021_S33.idba_concoct.99_sub,6,7,Ambivalent_phenol_decomposition,13
 74,Peat-11-2-2021_S33-idba_concoct.132_sub,Bacteria,Myxococcota,Myxococcia,Myxococcales,40CM-4-68-19,CAIWCD01,,SPRUCE 2093,Peat.11.2.2021_S33.idba_concoct.132_sub,8,12,Oxic_phenol_decomposition,20
243,Peat-4-2-2021_S29-idba_metabat.38,Bacteria,Bdellovibrionota,Bdellovibrionia_A,UBA1018,UBA1018,JABDFB01,,SPRUCE 2262,Peat.4.2.2021_S29.idba_metabat.38,4,6,Oxic_phenol_decomposition,10
111,Peat-13-2-2021_S34-spades_concoct.5,Bacteria,Bdellovibrionota,Bdellovibrionia,JABDDW01,JABDDW01,JABDDW01,,SPRUCE 2130,Peat.13.2.2021_S34.spades_concoct.5,2,4,Oxic_phenol_decomposition,6
196,Peat-19-2-2022_S47-idba_concoct.14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,SPRUCE 2215,Peat.19.2.2022_S47.idba_concoct.14,12,50,Oxic_phenol_decomposition,62
 68,Peat-11-2-2020_S24-idba_metabat.43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,SPRUCE 2087,Peat.11.2.2020_S24.idba_metabat.43,32,52,Oxic_phenol_decomposition,84
 81,Peat-11-2-2021_S33-idba_metabat.32_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,SPRUCE 2100,Peat.11.2.2021_S33.idba_metabat.32_sub,16,50,Oxic_phenol_decomposition,66
220,Peat-20-2-2021_S38-idba_metabat.20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,SPRUCE 171,Peat.20.2.2021_S38.idba_metabat.20,16,61,Oxic_phenol_decomposition,77
 65,Peat-11-2-2020_S24-idba_metabat.27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,AP-16,,SPRUCE 697,Peat.11.2.2020_S24.idba_metabat.27,12,44,Oxic_phenol_decomposition,56
300,Peat-8-2-2022_S41-idba_metabat.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,,SPRUCE 581,Peat.8.2.2022_S41.idba_metabat.5,26,38,Ambivalent_phenol_decomposition,64
164,Peat-17-2-2021_S36-idba_concoct.101_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2183,Peat.17.2.2021_S36.idba_concoct.101_sub,9,46,Oxic_phenol_decomposition,55
 98,Peat-11-2-2022_S43-idba_metabat.8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 347,Peat.11.2.2022_S43.idba_metabat.8,15,52,Oxic_phenol_decomposition,67
143,Peat-16-2-2021_S35-spades_metabat.33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 502,Peat.16.2.2021_S35.spades_metabat.33,22,42,Oxic_phenol_decomposition,64
 60,Peat-10-2-2022_S42-spades_maxbin.010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2079,Peat.10.2.2022_S42.spades_maxbin.010,15,47,Oxic_phenol_decomposition,62
172,Peat-17-2-2022_S46-idba_maxbin.004,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2191,Peat.17.2.2022_S46.idba_maxbin.004,14,45,Oxic_phenol_decomposition,59
270,Peat-6-2-2022_S40-idba_metabat.3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 436,Peat.6.2.2022_S40.idba_metabat.3,11,41,Oxic_phenol_decomposition,52
176,Peat-17-2-2022_S46-idba_metabat.30_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2195,Peat.17.2.2022_S46.idba_metabat.30_sub,10,42,Oxic_phenol_decomposition,52
127,Peat-16-2-2020_S26-spades_metabat.17_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 335,Peat.16.2.2020_S26.spades_metabat.17_sub,26,34,Ambivalent_phenol_decomposition,60
101,Peat-11-2-2022_S43-spades_metabat.36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2120,Peat.11.2.2022_S43.spades_metabat.36,13,26,Oxic_phenol_decomposition,39
265,Peat-6-2-2022_S40-idba_concoct.73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 75,Peat.6.2.2022_S40.idba_concoct.73,12,27,Oxic_phenol_decomposition,39
195,Peat-19-2-2021_S37-spades_metabat.33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 202,Peat.19.2.2021_S37.spades_metabat.33,11,21,Oxic_phenol_decomposition,32
295,Peat-8-2-2021_S31-idba_metabat.56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2314,Peat.8.2.2021_S31.idba_metabat.56,10,12,Ambivalent_phenol_decomposition,22
 88,Peat-11-2-2021_S33-spades_maxbin.008,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 5,Peat.11.2.2021_S33.spades_maxbin.008,8,13,Oxic_phenol_decomposition,21
 62,Peat-10-2-2022_S42-spades_metabat.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2081,Peat.10.2.2022_S42.spades_metabat.5,14,21,Oxic_phenol_decomposition,35
 55,Peat-10-2-2022_S42-idba_metabat.53_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2074,Peat.10.2.2022_S42.idba_metabat.53_sub,7,19,Oxic_phenol_decomposition,26
175,Peat-17-2-2022_S46-idba_metabat.23_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397,Peat.17.2.2022_S46.idba_metabat.23_sub,10,34,Oxic_phenol_decomposition,44
198,Peat-19-2-2022_S47-idba_maxbin.005_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2217,Peat.19.2.2022_S47.idba_maxbin.005_sub,11,27,Oxic_phenol_decomposition,38
203,Peat-19-2-2022_S47-idba_metabat.34,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2222,Peat.19.2.2022_S47.idba_metabat.34,10,35,Oxic_phenol_decomposition,45
 48,Peat-10-2-2022_S42-idba_metabat.33_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,,SPRUCE 2067,Peat.10.2.2022_S42.idba_metabat.33_sub,13,49,Oxic_phenol_decomposition,62
235,Peat-20-2-2022_S48-spades_metabat.60_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,Methylocystis sp003134075,SPRUCE 467,Peat.20.2.2022_S48.spades_metabat.60_sub,7,14,Oxic_phenol_decomposition,21
303,Peat-8-2-2022_S41-spades_metabat.33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,,SPRUCE 2322,Peat.8.2.2022_S41.spades_metabat.33,8,15,Oxic_phenol_decomposition,23
305,Peat-8-2-2022_S41-spades_metabat.47_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,,SPRUCE 421,Peat.8.2.2022_S41.spades_metabat.47_sub,4,18,Oxic_phenol_decomposition,22
250,Peat-4-2-2022_S39-spades_metabat.23_sub,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylovirgula,,SPRUCE 2269,Peat.4.2.2022_S39.spades_metabat.23_sub,4,24,Oxic_phenol_decomposition,28
211,Peat-20-2-2020_S28-idba_metabat.55,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,SPRUCE 2230,Peat.20.2.2020_S28.idba_metabat.55,7,38,Oxic_phenol_decomposition,45
180,Peat-17-2-2022_S46-idba_metabat.62,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Palsa-881,,SPRUCE 2199,Peat.17.2.2022_S46.idba_metabat.62,9,28,Oxic_phenol_decomposition,37
138,Peat-16-2-2021_S35-spades_concoct.51,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Palsa-881,,SPRUCE 2157,Peat.16.2.2021_S35.spades_concoct.51,8,21,Oxic_phenol_decomposition,29
124,Peat-16-2-2020_S26-idba_metabat.27,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,,SPRUCE 2143,Peat.16.2.2020_S26.idba_metabat.27,6,12,Oxic_phenol_decomposition,18
223,Peat-20-2-2021_S38-idba_metabat.36,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,,SPRUCE 2242,Peat.20.2.2021_S38.idba_metabat.36,6,17,Oxic_phenol_decomposition,23
189,Peat-19-2-2021_S37-idba_metabat.22,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,,SPRUCE 174,Peat.19.2.2021_S37.idba_metabat.22,7,25,Oxic_phenol_decomposition,32
