model,vif_from,terms,Plot6,Plot8,Plot10,Plot11,Plot13,Plot16,Plot17,Plot19,Plot20,Temp_avg_top,WT_drawdown_cm,Temp_avg_top.WT_drawdown_cm,Plot,Depth10.20.cm,Depth20.30.cm,Plot4
MAG activity,selected model,Temp_avg_top * WT_drawdown_cm,17.98519671410869,2.3670729444220515,4.263542989778023,5.153052579444422,2.5711403809935915,2.906460565526835,3.695459695852936,5.005106389582087,4.01881914288622,32.46723420055128,142.42146800740412,133.5739348498456,NA,NA,NA,NA
Metabolites,selected model,WT_drawdown_cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.001769386679548,NA,1.0017693866795483,NA,NA,NA
16S amplicons,selected model,Temp_avg_top,6.795147582865836,2.0011188865317076,2.7413757787907884,3.047764998447612,2.010235327208164,2.1369065417047017,2.445342782252634,2.8884319754103274,2.4116885277862035,11.641814641915861,NA,NA,NA,1.3286751230705587,1.3258426966292078,NA
ITS amplicons,selected model,Temp_avg_top,6.795147582865865,2.0011188865317036,2.7413757787907835,3.047764998447624,2.0102353272081657,2.1369065417046995,2.445342782252635,2.88843197541033,2.4116885277862044,11.64181464191587,NA,NA,NA,1.3286751230705616,1.3258426966292152,NA
MAG abundance,selected model,Temp_avg_top,12.342992557081068,2.0709620389322003,NA,6.271690042471516,3.8977792384830687,1.9483615777407668,1.8216011561797765,5.008554965155635,4.952516429297506,11.891052039528782,NA,NA,NA,NA,NA,2.761111192046449
MAG activity,full model,Temp_avg_top + WT_drawdown_cm,12.51466837147081,2.1407767798211634,3.0857566137691497,3.7067840555792793,2.2670463162561916,2.5200744120413066,2.9152259402984497,3.8230492220882595,3.1622462189634972,24.9108440794409,2.355341402134227,NA,NA,NA,NA,NA
Metabolites,full model,Temp_avg_top + WT_drawdown_cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1620667467308734,1.163850476578765,NA,1.0028856263826376,NA,NA,NA
16S amplicons,full model,Temp_avg_top + WT_drawdown_cm,11.241132766016063,2.1138619010757917,2.980415747625554,4.156142826879251,2.2204783701393107,2.4438822841089864,2.8034168325597,3.8092026741171363,3.007164227322516,22.354423978796063,2.1474808276285566,NA,NA,1.3293063512848,1.3258426966292078,NA
ITS amplicons,full model,Temp_avg_top + WT_drawdown_cm,11.241132766016102,2.113861901075787,2.9804157476255497,4.156142826879266,2.220478370139313,2.443882284108984,2.8034168325597015,3.8092026741171376,3.007164227322516,22.354423978796056,2.1474808276285535,NA,NA,1.3293063512848027,1.3258426966292152,NA
MAG abundance,full model,Temp_avg_top + WT_drawdown_cm,20.473935255396256,2.1048339799162394,NA,9.166514177869532,5.005981384440314,1.9507576431553648,1.8327691333263865,7.317802935719771,6.894098008596431,24.530236892587155,2.2906447760564155,NA,NA,NA,NA,3.0684717794848986
