connected_sensitive_tax,connected_methanogen,Metabolite_feature_ID,Acquisition_mode,RT_min,precursor_mz,Metabolite_name,Figure_3_label,Annotation_Confidence,Name_n_features,Name_status,Kingdom,Superclass,Class.metab,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Classification_network,edge_genome_metab,weight_genome_metab,recovery_genome_metab,edge_metab_methanogen,weight_metab_methanogen,recovery_metab_methanogen
SPRUCE 124: Acidobacteriota,SPRUCE 2026,RP_1.33_159.05116,RP,1.33,159.05116,Allantoin,Allantoin [L1],L1,1,name unique to this feature,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,NA,NA,NA,NA,Amino acids and derivatives,positive,0.0125,0.28,negative,-0.0299,0.6
SPRUCE 124: Acidobacteriota,SPRUCE 2026,RP_13.067_419.16988,RP,13.067,419.16988,Ramalinic acid A,Lignan-like (putative) | RP_13.067_419.16988 [L3],L3,1,name unique to this feature,Organic compounds,"Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,Phenolic and polyphenolic compounds,negative,-0.0158,0.06,negative,-0.0188,0.28
SPRUCE 124: Acidobacteriota,SPRUCE 510,RP_9.29_291.0861,RP,9.29,291.0861,(+)-Catechin,(+)-Catechin [L1],L1,1,name unique to this feature,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA,NA,NA,Phenolic and polyphenolic compounds,positive,0.0221,0.92,negative,-0.0081,0.28
SPRUCE 124: Acidobacteriota,SPRUCE 556,RP_1.287_163.05997,RP,1.287,163.05997,3-hydroxy-3-methylpentanedioic acid,3-hydroxy-3-methylpentanedioic acid [L2],L2,2,name shared with other features,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,NA,NA,NA,NA,Lipids and derivatives,positive,0.0684,0.92,negative,-0.053,0.92
SPRUCE 124: Acidobacteriota,SPRUCE 556,RP_13.067_419.16988,RP,13.067,419.16988,Ramalinic acid A,Lignan-like (putative) | RP_13.067_419.16988 [L3],L3,1,name unique to this feature,Organic compounds,"Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,Phenolic and polyphenolic compounds,negative,-0.0158,0.06,positive,0.1499,0.8
SPRUCE 190: Myxococcota,SPRUCE 2021,RP_12.265_363.10731,RP,12.265,363.10731,Decarboxyhypothamnolic acid,Depsidone (putative) | RP_12.265_363.10731 [L3],L3,1,name unique to this feature,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,NA,Depsides and depsidones,NA,NA,NA,NA,Phenolic and polyphenolic compounds,negative,-0.01,0.8,negative,-0.0088,0.18
SPRUCE 190: Myxococcota,SPRUCE 2026,RP_1.422_246.06062,RP,1.422,246.06062,Oxazinomycin,Carbohydrates and carbohydrate conjugates (putative) | RP_1.422_246.06062 [L3],L3,1,name unique to this feature,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA,NA,NA,Other organic compounds,positive,0.0964,0.78,negative,-0.0642,0.76
SPRUCE 190: Myxococcota,SPRUCE 510,RP_9.29_291.0861,RP,9.29,291.0861,(+)-Catechin,(+)-Catechin [L1],L1,1,name unique to this feature,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA,NA,NA,Phenolic and polyphenolic compounds,positive,0.0136,0.06,negative,-0.0081,0.28
SPRUCE 190: Myxococcota,SPRUCE 556,RP_2.966_204.0865,RP,2.966,204.0865,N2-Acetyl-L-aminoadipate,"Amino acids, peptides, and analogues (putative) | RP_2.966_204.0865 [L3]",L3,1,name unique to this feature,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives,N-acyl-alpha amino acids,N-acyl-L-alpha-amino acids,Amino acids and derivatives,negative,-0.0353,0.68,negative,-0.0244,0.52
SPRUCE 2042: Actinobacteriota,SPRUCE 2021,RP_6.946_232.15416,RP,6.946,232.15416,Butyryl-L-carnitine,Fatty acid esters (putative) | RP_6.946_232.15416 [L3],L3,3,name shared with other features,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA,Lipids and derivatives,positive,0.12,0.8,negative,-0.3225,0.8
