response,formula,n,Estimate,Std_Error,z_value,p_value,term,sig,R2_marginal,R2_conditional,singular_fit,component,model_type,unstable
SPRUCE 510,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-27.11163441637819,8620.561793267221,-0.0031449962388243368,0.9974906601939069,(Intercept),,0.194,0.194,FALSE,conditional,Gaussian,TRUE
SPRUCE 510,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,288.6515079221948,387.20140215021854,0.7454815667485875,0.45598065052713715,Temp_avg_top,,0.194,0.194,FALSE,conditional,Gaussian,FALSE
SPRUCE 510,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-426.4133636123238,746.7797970696723,-0.5710028113850283,0.5679977371143949,WT_drawdown_cm,,0.194,0.194,FALSE,conditional,Gaussian,FALSE
SPRUCE 510,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,7.6058113350382746,29.51193503368822,0.25771984542376336,0.7966231289274206,Temp_avg_top:WT_drawdown_cm,,0.194,0.194,FALSE,conditional,Gaussian,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,1317.3240239601446,2755.9262744728326,0.47799683038042406,0.6326524610062605,(Intercept),,0.161,0.161,FALSE,conditional,ZIGA,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,16.721300241448898,122.52104682397567,0.13647696191718117,0.8914442358583566,Temp_avg_top,,0.161,0.161,FALSE,conditional,ZIGA,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-171.4916055095497,366.99802657985487,-0.4672820916987545,0.6402980673054098,WT_drawdown_cm,,0.161,0.161,FALSE,conditional,ZIGA,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,5.109864334333186,17.584073621332326,0.29059616357236434,0.7713601945465979,Temp_avg_top:WT_drawdown_cm,,0.161,0.161,FALSE,conditional,ZIGA,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-0.7794183359263857,0.5178646166074683,-1.505061962009214,0.13230814726587448,ZI:(Intercept),,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
SPRUCE 2026,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,0.08916322765422136,0.04073472827192125,2.1888749830125227,0.02860592783446017,ZI:WT_drawdown_cm,,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-1035.5832034088069,1799.1899976126517,-0.5755830150139363,0.5648970642654677,(Intercept),,0.256,0.256,FALSE,conditional,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,103.39766188250908,79.98955384577619,1.292639562434176,0.19613574975507467,Temp_avg_top,,0.256,0.256,FALSE,conditional,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-73.8926412773907,239.33231315531324,-0.30874494255791746,0.757515553627282,WT_drawdown_cm,,0.256,0.256,FALSE,conditional,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,1.5840860958888083,11.481924417326402,0.13796346660307202,0.8902692908099765,Temp_avg_top:WT_drawdown_cm,,0.256,0.256,FALSE,conditional,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-0.8761720376522991,0.5230935503908538,-1.6749815343691892,0.09393785473544007,ZI:(Intercept),,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
SPRUCE 556,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,0.07827993777113713,0.0371725376334744,2.1058540189799935,0.035217034822182,ZI:WT_drawdown_cm,,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-2352.447037520005,1544.4614339376988,-1.523150391345349,0.12772108412234154,(Intercept),,0.923,0.923,FALSE,conditional,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,177.83230983049765,69.60349991591089,2.5549334450902577,0.010620810351414576,Temp_avg_top,*,0.923,0.923,FALSE,conditional,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,318.4487445033953,209.41278664229273,1.520674785954459,0.12834146913110756,WT_drawdown_cm,,0.923,0.923,FALSE,conditional,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-19.89133011299526,10.192173500905415,-1.9516278947987125,0.05098239893954919,Temp_avg_top:WT_drawdown_cm,.,0.923,0.923,FALSE,conditional,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,-0.4761933911329383,0.49270706564830835,-0.9664837879001366,0.3338021554279713,ZI:(Intercept),,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
SPRUCE 2021,Abundance ~ Temp_avg_top * WT_drawdown_cm + (1 | Plot),28,0.07134775721772336,0.03766150922347738,1.8944476386848221,0.05816561825025249,ZI:WT_drawdown_cm,,NA,NA,FALSE,zero-inflation,ZIGA,FALSE
