module,Definition,Citation
3-hydroxybenzoate conversion to protocatechuic acid (oxic),K19065,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
3-methylcatechol degradation (oxic),K16270 K10702,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
3-o-methylgallate coversion to gallate (oxic),K15066,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
3-o-methylgallate degradation (oxic),K15065,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
4-hydroxybenzoate conversion to benzoyl-coa (anoxic),"K04105,K20458 K04108+K04109+K04107","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
4-hydroxyphenylacetate conversion to homoprotocatechuic acid (oxic),K00483+K00484+K23470+K23492,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
4-methoxybenzoate conversion (oxic),K22553,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
4-methylcatechol degradation- meta-cleavage route 1 (oxic) R1,K00446 K10217 K01821 K01617 K18364 K18365,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
4-methylcatechol degradation- meta-cleavage route 2 (oxic) R2,K07104 K10216 K02554 K01666,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
"5,5'-dehydrodivanillate conversion to vanillate (oxic)",K15060+K24244+K24245 K15061 K15062 K15063,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzene conversion to catechol (oxic),K03268+K16268+K18089+K18090 K16269,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzene conversion to phenol (oxic),K16249+K16243+K16244+K16242+K16245+K16246,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoate conversion to benzoyl-coa (oxic or anoxic),K04110,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoate degradation to catechol (oxic),K05549+K05550+K05784 K05783,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoate degradation to protocatechuic acid (oxic),K07824 K00481,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoquinone reductase (non-specific),AA6,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoyl-coa degradation (oxic),K15511+K15512 K15513 K15514,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoyl-coa degradation route 1 (anoxic) R1,K04114+K04113+K04112+K04115 K07537 K07538 K07539,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoyl-coa degradation route 2 (anoxic) R2,K19515+K19516 K07537 K07538 K07539,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
benzoyl-coa degradation route 3 (anoxic) R3,K19066 K07534 K07535 K07536,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
biphenyl conversion to benzoate (oxic),K08689+K15750+K18087+K18088 K08690 K00462 K10222,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
caffeate respiration (anoxic),"D00018+D00017+D00016,K22430+D00015,K22431+D00014,K22432","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
catechol degradation- meta-cleavage route 1 (oxic) R1,K00446 K10217 K01821 K01617 K18364 K18365,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
catechol degradation- meta-cleavage route 2 (oxic) R2,K07104 K10216 K02554 K01666,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
catechol degradation- ortho cleavage (oxic),K03381 K01856 K03464 K01055,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
chlorogenic acid cleavage (oxic or anoxic),D00034,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
coniferyl alcohol conversion to ferulic acid (oxic),"D00026 D00037,K00154,K12355","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
coumaric acid conversion (oxic),D00039,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
cumic acid degradation (oxic),K10619+K16303+K16304+K18227 K10620 K10621 K10622 K10623,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
curcumin conversion,"D00019,K23256","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
cymene conversion to cumic acid (oxic),K10616+K18293 K10617 K10618,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
dehydroconiferyl alcohol conversion (oxic or anoxic),D00028+D00029 D00030+D00031,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
dehydroconiferyl alcohol conversion (oxic),D00007,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
ethylbenzene conversion to benzoyl-coa (anoxic),K10700+K17048+K17049 K14746 K10701 K14747 K00632,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
ethylbenzene degradation (oxic),K14748+K14749+K14750  K14751 K18092,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
eugenol conversion to coniferyl alcohol (oxic),D00024+D00025,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
ferulic acid conversion to vanillin (oxic),"D00038,K12508 K18383","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
flavanone degradation (oxic),D00039,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
flavone degradation (oxic),D00039,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
flavone/flavanone degradation to phloroglucinol (anoxic),"D00009,K26176 D00003,K26177+D00001,K26178 D00006,K22906","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
flavonol/flavanonol degradation to phloroglucinol (anoxic),"D00009,K26176 D00003,K26177+D00001,K26178 D00006,K22906","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
gallate conversion to pyrogallol (anoxic),K22959+K22958+K22960,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
gallate degradation (oxic),K04099,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
gentisic acid degradation route 1 (oxic) R1,K00450 K20758,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
gentisic acid degradation route 2 (oxic) R2,K00450 K01801 K16165,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
guaiacol conversion to catechol (oxic),K23526+K23527,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
homogentisic acid degradation (oxic),K00451 K01800 K01555,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
homoprotocatechuic acid degradation (oxic),K00455 K00151+K10219 K01826 K05921 K02509 K02510 K00135,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
hydrolyzable tannin depolymerization (oxic or anoxic),K10759,"McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
isoeugenol conversion to vanillin (oxic),"D00027,K23363","McGivern, B., Reed, W., Rory, F., & Kelly, W. (2024). CAMPER (Version 1.0.0) [Computer software]. https://doi.org/10.5281/zenodo.10835273"
