genome,metabolite,methanogen,weight_genome_metab,weight_metab_methanogen,sign_genome_metab,sign_metab_methanogen,FeatureID,Feature,Final_name,InChIKey,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,Kingdom,Superclass,Class,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Annotation_Confidence,Annotation_Confidence_sublevel
SPRUCE 275,RP_1.632_360.14986,SPRUCE 2026,0.026843353187706347,-0.020111343475153847,positive,negative,Feature3816,RP_1.632_360.14986,D-(+)-Turanose,"SEWFWJUQVJHATO-PUVWEJBASA-NSEWFWJUQVJHATO-KQTFWTRUSA-N
SEWFWJUQVJHATO-UHFFFAOYSA-N
SEWFWJUQVJHATO-UGDNZRGBSA-N
SEWFWJUQVJHATO-YXSCGFAXSA-N
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L1,L1
SPRUCE 275,RP_11.548_249.11198,SPRUCE 2026,0.013789673683951158,-0.0703505840097351,positive,negative,Feature1940,RP_11.548_249.11198,"5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one (stereochemistry unresolved)",VJCNEDVMYQCMBK-SMDDNHRTSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,,Kavalactones,,,,,L2,L2
SPRUCE 275,RP_11.741_249.11198,SPRUCE 556,0.019045467349221242,-0.01143001612489418,positive,negative,Feature1939,RP_11.741_249.11198,"5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one (stereochemistry unresolved)",VJCNEDVMYQCMBK-FZMZJTMJSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,,Kavalactones,,,,,L2,L2
SPRUCE 275,RP_5.641_174.12357,SPRUCE 510,0.013851678157942655,-0.04902084143114192,positive,negative,Feature0620,RP_5.641_174.12357,Indospicine,SILQDLDAWPQMEL-YFKPBYRVSA-N,cpd:C08288,Indospicine;L-Indospicine,C7H15N3O2,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,,L3,L2.2
SPRUCE 2053,RP_8.516_384.11481,SPRUCE 556,6.799638105204828e-4,0.002831075314875406,positive,positive,Feature4275,RP_8.516_384.11481,Succinyladenosine,VKGZCEJTCKHMRL-VWJPMABRSA-N,NA,NA,NA,NA,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Purine nucleosides,,,,,L3,L2.1
SPRUCE 689,RP_17.086_297.14839,SPRUCE 2021,-5.699644940187105e-4,0.010909442385263597,negative,positive,Feature2892,RP_17.086_297.14839,"1-(4-Hydroxyphenyl)-7-phenylhepta-3,5-dione",NHWUJCHOBBGHCP-UHFFFAOYSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Linear diarylheptanoids,,,,,L3,L2.3
SPRUCE 689,RP_20.847_292.26333,SPRUCE 556,-0.008092617891929898,-0.0021801578337972208,negative,negative,Feature2778,RP_20.847_292.26333,17-Amino-5alpha-androstan-11-ol,OMKYOYBEVIPBMI-YISWTCPOSA-N,NA,NA,NA,NA,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,11-hydroxysteroids,,,,,L3,L2.2
SPRUCE 689,RP_1.94_174.08719,SPRUCE 510,0.05123515926915151,-0.01264249381117077,positive,negative,Feature0612,RP_1.94_174.08719,2-oxoarginine,ARBHXJXXVVHMET-UHFFFAOYSA-N,cpd:C03771,5-Guanidino-2-oxopentanoate;5-Guanidino-2-oxo-pentanoate;2-Oxo-5-guanidinopentanoate;2-Oxo-5-guanidino-pentanoate;2-Oxoarginine,C6H11N3O3,Arginine and proline metabolism;D-Amino acid metabolism;Metabolic pathways,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Short-chain keto acids and derivatives,,,,,L3,L2.2
SPRUCE 689,RP_1.486_96.0443,SPRUCE 2021,6.990735992178469e-4,0.012729274408581539,positive,positive,Feature0064,RP_1.486_96.0443,2-Hydroxypyridine,UBQKCCHYAOITMY-UHFFFAOYSA-N,cpd:C02502,2-Hydroxypyridine;2-Pyridone;2-Pyridinol,C5H5NO,NA,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,Pyridinones,,,,,L3,L2.2
SPRUCE 124,RP_13.067_419.16988,SPRUCE 2026,-0.015839397890491328,-0.01880096305316453,negative,negative,Feature4488,RP_13.067_419.16988,Ramalinic acid A,XIJCKILIISXBES-UHFFFAOYSA-N,NA,NA,NA,NA,Organic compounds,"Lignans, neolignans and related compounds",,,"Lignans, neolignans and related compounds",,,,,L3,L2.2
