Plot,Depth,ActivtypH,Duplicate,year
4,10-20 cm,1.08550117100738,No,2021
6,10-20 cm,0.150578946339174,No,2021
7,10-20 cm,0.750967650003365,No,2021
8,10-20 cm,0.379948652487715,No,2021
10,10-20 cm,4.334984375,No,2021
13,10-20 cm,0.507083725398672,No,2021
16,10-20 cm,0.35642662493382,No,2021
19,10-20 cm,0.251722292248267,No,2021
20,10-20 cm,1.78580836594059,No,2021
21,10-20 cm,0.591631781061638,No,2021
4,10-20 cm,0.312338480009153,No,2022
6,10-20 cm,0.172623140086422,No,2022
7,10-20 cm,1.11013890870122,No,2022
8,10-20 cm,1.74583179520978,No,2022
10,10-20 cm,0.284090383753982,No,2022
11,10-20 cm,0.063305722834275,No,2022
13,10-20 cm,1.21610186888156,No,2022
16,10-20 cm,0.0369598350153509,No,2022
17,10-20 cm,0.193497463457096,No,2022
19,10-20 cm,0.163462646646016,No,2022
20,10-20 cm,0.21379650959768,No,2022
21,10-20 cm,0.296088469982699,No,2022
4,10-20 cm,0.209997481,Yes,2022
6,10-20 cm,0.293949451,Yes,2022
7,10-20 cm,0.501736242,Yes,2022
8,10-20 cm,0.537865825,Yes,2022
10,10-20 cm,0.559408453,Yes,2022
11,10-20 cm,0.053244671,Yes,2022
13,10-20 cm,0.166189492,Yes,2022
16,10-20 cm,0.044607788,Yes,2022
17,10-20 cm,0.244896946,Yes,2022
19,10-20 cm,0.077913286,Yes,2022
20,10-20 cm,0.101192961,Yes,2022
21,10-20 cm,0.241926546,Yes,2022
