Drought_ID,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID,Cluster,coef_Temp,stderr_Temp,pval_Temp,coef_WT,stderr_WT,pval_WT,coef_NOSC,stderr_NOSC,pval_NOSC
Peat-4-2-2021_S29-idba_metabat.8,Bacteria,Proteobacteria,Alphaproteobacteria,ATCC43930,Stellaceae,REEB95,,SPRUCE 87,Warming-stimulated oxic,1.462377807,0.662908658,0.036077949,1.697473334,0.402293589,2.63E-04,0.554563972,0.529099669,0.304607671
Peat-8-2-2021_S31-idba_metabat.52,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,SPRUCE 2313,Warming-stimulated oxic,1.056784185,0.475472466,0.034809219,0.777681077,0.199645021,6.14E-04,0.326864171,0.252074492,0.206576938
Peat-20-2-2022_S48-idba_metabat.73,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,SPRUCE 2028,Oxygen sensitive,-0.429359808,0.424620363,0.320915426,-2.461951832,0.761789249,0.003329263,-0.173028623,0.892815411,0.847897687
Peat-6-2-2020_S21-idba_metabat.61,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Fen-1064,Fen-1064,,SPRUCE 129,Oxygen sensitive,-0.807582847,1.168299246,0.495311581,-1.71280975,0.601361831,0.008479723,-0.285891257,0.685901819,0.680374091
Peat-17-2-2020_S27-spades_metabat.18,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,SPRUCE 2026,Oxygen sensitive,-0.168709479,0.482491819,0.729304443,-2.059725421,0.732635253,0.009255716,0.058513607,0.820744186,0.94373156
Peat-10-2-2021_S32-spades_metabat.10,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,,SPRUCE 2049,Warming-stimulated anoxic,0.953124795,0.455640469,0.04599094,0.089418165,0.032651232,0.01099118,-0.126464299,0.029012975,1.96E-04
Peat-10-2-2021_S32-idba_metabat.21,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,PALSA-457,,SPRUCE 2042,Warming-stimulated oxic,0.604175513,0.273918956,0.036103551,0.595219748,0.219871108,0.011831875,-0.870171116,0.191100441,1.19E-04
Peat-13-2-2020_S25-spades_concoct.114,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,,SPRUCE 556,Oxygen sensitive,-0.03351492,0.577524429,0.954150475,-1.215569278,0.456721821,0.013158923,0.132612707,0.509014212,0.796590086
Peat-6-2-2020_S21-spades_concoct.115,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510,Oxygen sensitive,-0.130174932,0.986795431,0.896028207,-1.717959041,0.667079738,0.016052759,-0.100859228,0.748238516,0.893852912
Peat-13-2-2020_S25-spades_metabat.41,Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionales,Chitinispirillaceae,BOG-1184,,SPRUCE 450,Oxygen sensitive,-0.420843568,0.617030322,0.501018979,-0.716171834,0.292453199,0.021385676,-0.104240131,0.315718786,0.744024145
Peat-20-2-2022_S48-idba_maxbin.037_sub,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,UBA4810,UBA4810 sp002479215,SPRUCE 595,Oxygen sensitive,-0.648440747,0.591806429,0.282888895,-1.377211137,0.566649777,0.022285151,-0.784549857,0.605311448,0.206776076
Peat-6-2-2021_S30-idba_concoct.35_sub,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeaceae,UBA12276,,SPRUCE 242,Oxygen sensitive,-0.526847546,0.556804384,0.352438991,-0.850005179,0.363953043,0.027505828,-0.2257178,0.38660495,0.564555063
Peat-11-2-2021_S33-spades_concoct.126,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,UBA114,UBA114 sp002506335,SPRUCE 2021,Oxygen sensitive,-0.17179756,0.407486371,0.676652464,-1.299183098,0.556369589,0.027528332,-0.300587409,0.606959432,0.624759373
