"","genome","metabolite","methanogen","weight_genome_metab","weight_metab_methanogen","sign_genome_metab","sign_metab_methanogen","FeatureID","Final_name","InChIKey","KEGG_id","KEGG_name","KEGG_formula","KEGG_pathway","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5","Annotation_Confidence"
"1","SPRUCE 275","RP_1.632_360.14986","SPRUCE 2026",0.0268433531877067,-0.020111343475154,"positive","negative","Feature3816","D-(+)-Turanose","SEWFWJUQVJHATO-PUVWEJBASA-NSEWFWJUQVJHATO-KQTFWTRUSA-N
SEWFWJUQVJHATO-UHFFFAOYSA-N
SEWFWJUQVJHATO-UGDNZRGBSA-N
SEWFWJUQVJHATO-YXSCGFAXSA-N
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L1"
"2","SPRUCE 275","RP_11.548_249.11198","SPRUCE 2026",0.0137896736839512,-0.0703505840097336,"positive","negative","Feature1940","(5R,6S)-5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one","VJCNEDVMYQCMBK-SMDDNHRTSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Kavalactones","","Kavalactones","","","","","L2"
"3","SPRUCE 275","RP_11.741_249.11198","SPRUCE 556",0.0190454673492216,-0.011430016124893,"positive","negative","Feature1939","(5S,6S)-5-hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one","VJCNEDVMYQCMBK-FZMZJTMJSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Kavalactones","","Kavalactones","","","","","L2"
"4","SPRUCE 275","RP_5.641_174.12357","SPRUCE 510",0.0138516781579429,-0.0490208414311352,"positive","negative","Feature0620","Indospicine","SILQDLDAWPQMEL-YFKPBYRVSA-N","cpd:C08288","Indospicine;L-Indospicine","C7H15N3O2",NA,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids","","L2.2"
"5","SPRUCE 2053","RP_8.516_384.11481","SPRUCE 556",0.000679963810520542,0.00283107531487617,"positive","positive","Feature4275","Succinyladenosine","VKGZCEJTCKHMRL-VWJPMABRSA-N",NA,NA,NA,NA,"Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides","","Purine nucleosides","","","","","L2.1"
"6","SPRUCE 689","RP_17.086_297.14839","SPRUCE 2021",-0.000569964494018797,0.010909442385264,"negative","positive","Feature2892","1-(4-Hydroxyphenyl)-7-phenylhepta-3,5-dione","NHWUJCHOBBGHCP-UHFFFAOYSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids","","","","","L2.3"
"7","SPRUCE 689","RP_20.847_292.26333","SPRUCE 556",-0.00809261789192676,-0.00218015783379697,"negative","negative","Feature2778","17-Amino-5alpha-androstan-11-ol","OMKYOYBEVIPBMI-YISWTCPOSA-N",NA,NA,NA,NA,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Hydroxysteroids","11-hydroxysteroids","","","","","L2.2"
"8","SPRUCE 689","RP_1.94_174.08719","SPRUCE 510",0.0512351592691475,-0.0126424938111675,"positive","negative","Feature0612","2-oxoarginine","ARBHXJXXVVHMET-UHFFFAOYSA-N","cpd:C03771","5-Guanidino-2-oxopentanoate;5-Guanidino-2-oxo-pentanoate;2-Oxo-5-guanidinopentanoate;2-Oxo-5-guanidino-pentanoate;2-Oxoarginine","C6H11N3O3","Arginine and proline metabolism;D-Amino acid metabolism;Metabolic pathways","Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Short-chain keto acids and derivatives","Short-chain keto acids and derivatives","","","","","L2.2"
"9","SPRUCE 689","RP_1.486_96.0443","SPRUCE 2021",0.000699073599218027,0.0127292744085815,"positive","positive","Feature0064","2-Hydroxypyridine","UBQKCCHYAOITMY-UHFFFAOYSA-N","cpd:C02502","2-Hydroxypyridine;2-Pyridone;2-Pyridinol","C5H5NO",NA,"Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","Pyridinones","","","","","L2.2"
"10","SPRUCE 124","RP_13.067_419.16988","SPRUCE 2026",-0.0158393978904914,-0.0188009630531648,"negative","negative","Feature4488","Ramalinic acid A","XIJCKILIISXBES-UHFFFAOYSA-N",NA,NA,NA,NA,"Organic compounds","Lignans, neolignans and related compounds","","","Lignans, neolignans and related compounds","","","","","L2.2"
"11","SPRUCE 124","RP_13.067_419.16988","SPRUCE 556",-0.0158393978904914,0.149910175189532,"negative","positive","Feature4488","Ramalinic acid A","XIJCKILIISXBES-UHFFFAOYSA-N",NA,NA,NA,NA,"Organic compounds","Lignans, neolignans and related compounds","","","Lignans, neolignans and related compounds","","","","","L2.2"
"12","SPRUCE 124","RP_9.29_291.0861","SPRUCE 510",0.0220611946870164,-0.00811963791283123,"positive","negative","Feature2749","(+)-Catechin","PFTAWBLQPZVEMU-DZGCQCFKSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","","","","L1"
"13","SPRUCE 124","RP_1.287_163.05997","SPRUCE 556",0.0684235869811798,-0.0530490543884044,"positive","negative","Feature0470","3-hydroxy-3-methylpentanedioic acid","NPOAOTPXWNWTSH-UHFFFAOYSA-N","cpd:C03761","3-Hydroxy-3-methylglutarate;3-Hydorxy-3-methylglutaric acid;beta-Hydroxy-beta-methylglutaric acid;Dicrotalic acid;3-Hydroxy-3-methylpentanedioic acid;Meglutol","C6H10O5",NA,"Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids","","","","","L2"
"14","SPRUCE 124","RP_1.33_159.05116","SPRUCE 2026",0.0125001453907736,-0.02992605018743,"positive","negative","Feature0419","Allantoin","POJWUDADGALRAB-UHFFFAOYSA-N","cpd:C01551","Allantoin;5-Ureidohydantoin;Glyoxyldiureide","C4H6N4O3",NA,"Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles","","","","","L1"
"15","SPRUCE 2155","RP_10.233_344.17023","SPRUCE 2026",0.0160782146924239,-0.0485306265073524,"positive","negative","Feature3832","Raspberry ketone glucoside","IDONYWHRKBUDOR-IBEHDNSVSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides","","","","L1"
