"connected_sensitive_tax","connected_methanogen","Metabolite_name","Kingdom","Superclass","Class.metab","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5","Classification_network","edge_genome_metab","weight_genome_metab","edge_metab_methanogen","weight_metab_methanogen"
"SPRUCE 124: Acidobacteriota","SPRUCE 2026","Allantoin","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",NA,NA,NA,NA,"Amino acids and derivatives","positive",0.0125,"negative",-0.0299
"SPRUCE 124: Acidobacteriota","SPRUCE 2026","Ramalinic acid A","Organic compounds","Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,"Phenolic compound","negative",-0.0158,"negative",-0.0188
"SPRUCE 124: Acidobacteriota","SPRUCE 510","(+)-Catechin","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,"Phenolic compound","positive",0.0221,"negative",-0.0081
"SPRUCE 124: Acidobacteriota","SPRUCE 556","3-hydroxy-3-methylpentanedioic acid","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.0684,"negative",-0.053
"SPRUCE 124: Acidobacteriota","SPRUCE 556","Ramalinic acid A","Organic compounds","Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,"Phenolic compound","negative",-0.0158,"positive",0.1499
"SPRUCE 190: Myxococcota","SPRUCE 2021","Decarboxyhypothamnolic acid","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,"Phenolic compound","negative",-0.01,"negative",-0.0088
"SPRUCE 190: Myxococcota","SPRUCE 2026","Oxazinomycin","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds",NA,NA,NA,"Other organic compounds","positive",0.0964,"negative",-0.0642
"SPRUCE 190: Myxococcota","SPRUCE 510","(+)-Catechin","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,"Phenolic compound","positive",0.0136,"negative",-0.0081
"SPRUCE 190: Myxococcota","SPRUCE 556","N2-Acetyl-L-aminoadipate","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","N-acyl-alpha amino acids","N-acyl-L-alpha-amino acids","Amino acids and derivatives","negative",-0.0353,"negative",-0.0244
"SPRUCE 2042: Actinobacteriota","SPRUCE 2021","Butyryl-L-carnitine","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.12,"negative",-0.3225
"SPRUCE 2042: Actinobacteriota","SPRUCE 2026","Butyryl-L-carnitine","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",NA,NA,NA,NA,"Lipids and lipid-like molecules","positive",0.12,"negative",-0.0623
