SPRUCE_ID,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
SPRUCE 87,WT_drawdown_cm,WT_drawdown_cm,1.6974733339564765,0.4022935888701903,2.6323159209728364e-4,WT_drawdown_cm,0.06975637190578017,28,6
SPRUCE 2313,WT_drawdown_cm,WT_drawdown_cm,0.7776810766436943,0.19964502099850925,6.139031672498771e-4,WT_drawdown_cm,0.08134216966060871,28,4
SPRUCE 2028,WT_drawdown_cm,WT_drawdown_cm,-2.461951832410111,0.7617892491028991,0.003329263041479148,WT_drawdown_cm,0.29408490199732473,28,13
SPRUCE 2050,WT_drawdown_cm,WT_drawdown_cm,0.08941816461462214,0.03265123248424078,0.010991180443556152,WT_drawdown_cm,0.3135446902154677,28,1
SPRUCE 2049,WT_drawdown_cm,WT_drawdown_cm,0.08941816461462046,0.032651232484240775,0.010991180443557447,WT_drawdown_cm,0.3135446902154677,28,1
SPRUCE 2076,WT_drawdown_cm,WT_drawdown_cm,0.5249284721507049,0.17485464820116423,0.005855737697457018,WT_drawdown_cm,0.3135446902154677,28,3
SPRUCE 2051,WT_drawdown_cm,WT_drawdown_cm,0.6449545885576785,0.2377920738991942,0.011690698448995828,WT_drawdown_cm,0.3135446902154677,28,2
SPRUCE 2042,WT_drawdown_cm,WT_drawdown_cm,0.5952197482244495,0.21987110820574118,0.01183187510247048,WT_drawdown_cm,0.3135446902154677,28,2
SPRUCE 129,WT_drawdown_cm,WT_drawdown_cm,-1.7128097501810768,0.6013618310551984,0.008479723248164563,WT_drawdown_cm,0.3135446902154677,28,14
SPRUCE 2026,WT_drawdown_cm,WT_drawdown_cm,-2.0599211692862576,0.7326619632319811,0.009252101567935257,WT_drawdown_cm,0.3135446902154677,28,12
SPRUCE 556,WT_drawdown_cm,WT_drawdown_cm,-1.215569277884946,0.45672182119795296,0.01315892288744693,WT_drawdown_cm,0.31701041501576693,28,12
SPRUCE 2047,WT_drawdown_cm,WT_drawdown_cm,0.20948429175180913,0.0844335459661088,0.01989090154497288,WT_drawdown_cm,0.3294430568386133,28,2
SPRUCE 2163,WT_drawdown_cm,WT_drawdown_cm,0.8014390483499063,0.3188956979657323,0.018497255820452294,WT_drawdown_cm,0.3294430568386133,28,6
SPRUCE 2307,WT_drawdown_cm,WT_drawdown_cm,0.19100551823676093,0.07500056830884438,0.017138247678480056,WT_drawdown_cm,0.3294430568386133,28,2
SPRUCE 510,WT_drawdown_cm,WT_drawdown_cm,-1.7179590411482755,0.6670797375296479,0.016052759347249333,WT_drawdown_cm,0.3294430568386133,28,17
SPRUCE 2195,WT_drawdown_cm,WT_drawdown_cm,0.2787342398378748,0.11229556061339309,0.019841912239026777,WT_drawdown_cm,0.3294430568386133,28,4
SPRUCE 450,WT_drawdown_cm,WT_drawdown_cm,-0.7161718342340808,0.2924531986384494,0.021385676042729836,WT_drawdown_cm,0.33336495007784744,28,11
SPRUCE 242,WT_drawdown_cm,WT_drawdown_cm,-0.8500051789239859,0.36395304333999345,0.027505827697111795,WT_drawdown_cm,0.3839477828374975,28,12
SPRUCE 2021,WT_drawdown_cm,WT_drawdown_cm,-1.29918309835486,0.556369588945742,0.02752833159966963,WT_drawdown_cm,0.3839477828374975,28,13
SPRUCE 2154,WT_drawdown_cm,WT_drawdown_cm,0.3973696223584101,0.17354589510809496,0.030401678000951157,WT_drawdown_cm,0.3974440814203439,28,3
SPRUCE 2185,WT_drawdown_cm,WT_drawdown_cm,0.391615736579186,0.17225641282533702,0.031495568716329136,WT_drawdown_cm,0.3974440814203439,28,2
SPRUCE 595,WT_drawdown_cm,WT_drawdown_cm,-0.975361771581883,0.4343677151134649,0.033460880059985605,WT_drawdown_cm,0.40305150981346294,28,8
SPRUCE 305,WT_drawdown_cm,WT_drawdown_cm,-1.6404595290461934,0.753993763448312,0.03885607491839082,WT_drawdown_cm,0.447689558842329,28,10
SPRUCE 2218,WT_drawdown_cm,WT_drawdown_cm,0.5278928189795434,0.24667148856216245,0.04190215526661059,WT_drawdown_cm,0.46266963106882525,28,6
SPRUCE 502,WT_drawdown_cm,WT_drawdown_cm,0.9371061675875743,0.4478622280683009,0.04631106164076397,WT_drawdown_cm,0.49089725339209805,28,10
SPRUCE 2255,WT_drawdown_cm,WT_drawdown_cm,0.06747571472391707,0.034619532968444035,0.06215366203489528,WT_drawdown_cm,0.4966925999538163,28,1
SPRUCE 2184,WT_drawdown_cm,WT_drawdown_cm,0.1722694750430662,0.08909705324456975,0.06413165309757765,WT_drawdown_cm,0.4966925999538163,28,4
SPRUCE 503,WT_drawdown_cm,WT_drawdown_cm,-0.7589777417844844,0.392342710990735,0.06400640115659076,WT_drawdown_cm,0.4966925999538163,28,17
SPRUCE 2129,WT_drawdown_cm,WT_drawdown_cm,0.45508443290323025,0.2402289399286057,0.06934953282374039,WT_drawdown_cm,0.4966925999538163,28,5
SPRUCE 273,WT_drawdown_cm,WT_drawdown_cm,0.866391773375736,0.43441286531539347,0.05669290436139153,WT_drawdown_cm,0.4966925999538163,28,6
SPRUCE 434,WT_drawdown_cm,WT_drawdown_cm,-0.5979382107081233,0.2919263411859538,0.050758412255145095,WT_drawdown_cm,0.4966925999538163,28,12
SPRUCE 2305,WT_drawdown_cm,WT_drawdown_cm,-2.4417269513758413,1.1972539476798854,0.05169003444495213,WT_drawdown_cm,0.4966925999538163,28,10
SPRUCE 338,WT_drawdown_cm,WT_drawdown_cm,-0.952013765870643,0.4851217467908917,0.06049859279686802,WT_drawdown_cm,0.4966925999538163,28,14
SPRUCE 662,WT_drawdown_cm,WT_drawdown_cm,-1.8736978171605911,0.9222049580668003,0.05251450335189062,WT_drawdown_cm,0.4966925999538163,28,9
SPRUCE 2309,WT_drawdown_cm,WT_drawdown_cm,0.529830651921486,0.27880563242192546,0.06852880276834362,WT_drawdown_cm,0.4966925999538163,28,9
SPRUCE 467,WT_drawdown_cm,WT_drawdown_cm,-0.9353581343072069,0.48677675734571185,0.06569031279219045,WT_drawdown_cm,0.4966925999538163,28,25
SPRUCE 2322,WT_drawdown_cm,WT_drawdown_cm,-1.548913757147166,0.7928254488797177,0.06157950186224855,WT_drawdown_cm,0.4966925999538163,28,18
