Gene,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,CI_lower,CI_upper,evidence,X,fasta,scaffold,gene_position,start_position,end_position,strandedness,ko_id,kegg_hit,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,bin_taxonomy,CAMPER_id,CAMPER_hits,CAMPER_rank,CAMPER_bitScore,CAMPER_gene_description,CAMPER_module,CAMPER_header,CAMPER_subheader,CAMPER_specific_reaction,CAMPER_oxygen,CAMPER_Notes,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID
Gene_632507,AvgTemp10cm,AvgTemp10cm,1.3479564064612388,0.29393153927847243,1.0898524967239912e-4,AvgTemp10cm,0.028699449080398433,28,24,0.7718505894754328,1.9240622234470448,Confirmatory (FDR < 0.05), 640366,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_163,   4,   2998,   3723, 1,K00023,acetoacetyl-CoA reductase [EC:1.1.1.36],Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K14746,(S)-1-phenylethanol dehydrogenase [EC:1.1.1.311],B, 135.6,ped; (S)-1-phenylethanol dehydrogenase [EC:1.1.1.311],ethylbenzene conversion to benzoyl-coa (anoxic),non-polyphenol;aromatic_hydrocarbon;ethylbenzene,step 2,(S)-1-Phenylethanol => Acetophenone,anoxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_631965,AvgTemp10cm,AvgTemp10cm,1.6143957881114883,0.39105789524098283,3.561627114831934e-4,AvgTemp10cm,0.05627370841434456,28,18,0.847922313439162,2.380869262783815,Suggestive (FDR < 0.10), 639820,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_125,   5,   4009,   4830,-1,K15866,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]",Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K15866,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]",A, 366.1,"paaG; 1,2-epoxyphenylacetyl-CoA isomerase",phenylacteate degradation (oxic),polyphenols;phenolic_acids;hydroxyphenylacetic_acids;phenylacetic_acid,step 3,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA => 2-oxepin-2(3H)-ylideneacetyl-CoA",oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_635054,AvgTemp10cm,AvgTemp10cm,1.2178709470042748,0.3725082525626215,0.003133330326687032,AvgTemp10cm,0.1904100736986735,28,16,0.4877547719815367,1.9479871220270129,Exploratory (nominal P < 0.05 only), 642952,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_44,  22,  19706,  20023, 1,K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,Rieske-like [2Fe-2S] domain [PF13806.11]; Rieske [2Fe-2S] domain [PF00355.31],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,A, 110.6,hpaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,phenylpropionate degradation (oxic),polyphenols;phenolic_acids;hydroxyphenylpropanoic_acids;3-phenylpropionic_acid,step 1 subunit C,"3-phenylpropionate => 3-(5,6-dihydroxycylohexa-1,3-dien-1-yl)propionate",oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_635055,AvgTemp10cm,AvgTemp10cm,1.2178709470042748,0.3725082525626215,0.003133330326687032,AvgTemp10cm,0.1904100736986735,28,16,0.4877547719815367,1.9479871220270129,Exploratory (nominal P < 0.05 only), 642953,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_44,  22,  19706,  20023, 1,K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,Rieske-like [2Fe-2S] domain [PF13806.11]; Rieske [2Fe-2S] domain [PF00355.31],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,A, 110.6,hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component,trans-cinnamate degradation (oxic),polyphenols;phenolic_acids;hydrxoycinnamic_acids;trans-cinnamate,step 1 subunit C,trans-cinnamate => CI-dihydro-diol,oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_634051,AvgTemp10cm,AvgTemp10cm,1.7504933396688023,0.5708152950510749,0.00514171981719128,AvgTemp10cm,0.22505447392885425,28,17,0.6316953613686955,2.869291317968909,Exploratory (nominal P < 0.05 only), 641918,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_302,   2,    277,   2364,-1,,,Molybdopterin oxidoreductase [PF00384.27]; Molydopterin dinucleotide binding domain [PF01568.26],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,D00012,D00012;Cldh,B, 155.0,CLD; catechol lignan dehydroxylase,pinoresinol conversion route 1 (anoxic),polyphenols;lignans;lignans;pinoresinol,route 1 step 3,didemethyl-secoisolariciresional => enterodiol,anoxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_635297,AvgTemp10cm,AvgTemp10cm,1.5588153799045175,0.5179383271873561,0.005899658436915232,AvgTemp10cm,0.22505447392885425,28,14,0.5436562586172995,2.5739745011917354,Exploratory (nominal P < 0.05 only), 643195,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_54,   4,   3772,   5244, 1,,,Aldehyde dehydrogenase family [PF00171.27],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K19629,4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],B, 234.0,tsaD; 4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],toluene-4-sulfonate conversion to protocatechuic acid (oxic),non-polyphenol;aromatic_hydrocarbon;toluene-4-sulfonate,step 2,4-Sulfobenzyl alcohol => 4-formylbenzenesulfonate,oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_633263,AvgTemp10cm,AvgTemp10cm,1.61271548614148,0.47061750172438716,0.00648297234742071,AvgTemp10cm,0.22505447392885425,28,23,0.6903051827616813,2.535125789521279,Exploratory (nominal P < 0.05 only), 641126,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_225,   4,   3712,   4617, 1,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",Pirin [PF02678.21]; Pirin C-terminal cupin domain [PF05726.18],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",A, 309.4,"QueD;quercetin-2,3-dioxygenase",quercetin degradation (oxic),polyphenols;flavonoids;flavonols;quercetin,step 1,"quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_633518,AvgTemp10cm,AvgTemp10cm,1.73149152582915,0.5837934940349799,0.006552218861219807,AvgTemp10cm,0.22505447392885425,28,15,0.5872562775205892,2.8757267741377106,Exploratory (nominal P < 0.05 only), 641385,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_25,   3,   2847,   4616,-1,,,GMC oxidoreductase [PF00732.24]; GMC oxidoreductase [PF05199.18],AA3; AA3_1; AA3_2; AA3_3,"AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); glucose 1-dehydrogenase (FAD, quinone) (EC 1.1.5.9); pyranose dehydrogenase (EC 1.1.99.29); oligosaccharide dehydrogenase (FAD) (EC 1.1.5.-)","; 1.1.3.16,1.1.3.4,1.1.3.7,1.1.5.9,1.1.5.-,1.1.99.29; 1.1.3.13",AA3_2.hmm,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,AA3_2.hmm,AA3_2,A, 460.2,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_596584,AvgTemp10cm,AvgTemp10cm,1.4993018211325082,0.5155448793260833,0.007519989685530745,AvgTemp10cm,0.23838802797450387,28,13,0.48883385765338505,2.509769784611631,Exploratory (nominal P < 0.05 only), 603920,Peat-17-2-2021_S36-idba_concoct.101_sub,Peat-17-2-2021_S36-idba_concoct.101_sub_18,  15,  15615,  16445, 1,,,Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__,K01692,enoyl-CoA hydratase [EC:4.2.1.17],A, 237.7,"paaF; 2,3-dehydroadipyl-CoA hydratase",phenylacteate degradation (oxic),polyphenols;phenolic_acids;hydroxyphenylacetic_acids;phenylacetic_acid,step 7,"trans-2,3-dehydroadipyl-CoA => (3S)-hydroxyadipyl-CoA",oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,,SPRUCE 2183
Gene_635588,AvgTemp10cm,AvgTemp10cm,1.5545510812343473,0.4694724606789027,0.008402754186660694,AvgTemp10cm,0.2458583632393314,28,17,0.634385058303698,2.4747171041649967,Exploratory (nominal P < 0.05 only), 643486,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_68,   4,   3504,   5078, 1,K04110,benzoate-CoA ligase [EC:6.2.1.25],AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K04110,benzoate-CoA ligase [EC:6.2.1.25],A, 878.8,badA; benzoate-CoA ligase [EC:6.2.1.25],benzoate conversion to benzoyl-coa (oxic or anoxic),non-polyphenol;aromatic_hydrocarbon;benzoic_acid,step 1,Benzoate => Benzoyl-coA,both,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_635196,AvgTemp10cm,AvgTemp10cm,1.872718292898084,0.7216922220049494,0.015605758329158628,AvgTemp10cm,0.3123846974489927,28,10,0.458201537768383,3.2872350480277848,Exploratory (nominal P < 0.05 only), 643094,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_5,  19,  20316,  21083,-1,,,Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K19630,4-formylbenzenesulfonate dehydrogenase [EC:1.2.1.62],B, 138.0,tsaC; 4-formylbenzenesulfonate dehydrogenase [EC:1.2.1.62],toluene-4-sulfonate conversion to protocatechuic acid (oxic),non-polyphenol;aromatic_hydrocarbon;toluene-4-sulfonate,step 3,4-formylbenzenesulfonate => 4-sulfobenzoate,oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_632781,AvgTemp10cm,AvgTemp10cm,1.208807744867356,0.4672852806444897,0.015893679918984594,AvgTemp10cm,0.3123846974489927,28,23,0.2929285948041561,2.124686894930556,Exploratory (nominal P < 0.05 only), 640640,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_186,   4,   2626,   4524,-1,K26400,3-dehydroshikimate dehydratase [EC:4.2.1.118],"Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal [PF14696.11]; Xylose isomerase-like TIM barrel [PF01261.29]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.30]",,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,K00457,4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27],A, 268.6,hppD; 4-hydroxyphenylpyruvate dioxygenase,p-hydroxyphenyl conversion to homogentisate (oxic),polyphenols;phenolic_acids;hydroxyphenypropanoic_acids;4-hydroxyphenypyruvic_acid,step 1,4-hydroxyphenylpyruvate => homogentisate,oxic,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_536066,AvgTemp10cm,AvgTemp10cm,1.0880047332628457,0.39056418781787555,0.01945197134572562,AvgTemp10cm,0.3123846974489927,28,17,0.3224989251398097,1.853510541385882,Exploratory (nominal P < 0.05 only), 542545,Peat-16-2-2022_S45-idba_concoct.68,Peat-16-2-2022_S45-idba_concoct.68_11,  21,  19952,  20956, 1,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",Pirin [PF02678.21]; Pirin C-terminal cupin domain [PF05726.18],,,,,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Palsa-601;s__,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",A, 300.0,"QueD;quercetin-2,3-dioxygenase",quercetin degradation (oxic),polyphenols;flavonoids;flavonols;quercetin,step 1,"quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",oxic,,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Bog-793,Palsa-601,,SPRUCE 675
