Gene,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,CI_lower,CI_upper,evidence,X,fasta,scaffold,gene_position,start_position,end_position,strandedness,ko_id,kegg_hit,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,bin_taxonomy,CAMPER_id,CAMPER_hits,CAMPER_rank,CAMPER_bitScore,CAMPER_gene_description,CAMPER_module,CAMPER_header,CAMPER_subheader,CAMPER_specific_reaction,CAMPER_oxygen,CAMPER_Notes,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID
Gene_585465,AvgTemp10cm,AvgTemp10cm,0.6986749943136698,0.2788898574879342,0.019118501241278923,AvgTemp10cm,0.06492032830898183,28,9,0.15205087363731873,1.2452991149900208,Suggestive (FDR < 0.10), 592583,Peat-17-2-2020_S27-spades_metabat.18,Peat-17-2-2020_S27-spades_metabat.18_32,   8,   6803,   7615, 1,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],,,,,,Peat-17-2-2020_S27-spades_metabat.18.renamed,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],A,  99.3,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],protocatechuic acid degradation- ortho-cleavage (oxic),polyphenols;phenolic_acids;hydroxybenzoic_acids;protocatechuic_acid,step 3,4-Carboxymuconolactone => 3-Oxoadipate enol-lactone,oxic,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,SPRUCE 2026
Gene_959108,WT_drawdown_cm,WT_drawdown_cm,-3.7441098436615343,1.0448627636431567,0.0014316780356559422,WT_drawdown_cm,0.0272660109340918,28,13,-5.792040860402121,-1.6961788269209475,Confirmatory (FDR < 0.05), 970932,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_0,  96,  86637,  86972, 1,K22960,gallate decarboxylase subunit D,Bacterial proteasome assembling chaperone-like protein [PF21758.2],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K22960,gallate decarboxylase subunit D,A,  91.5,lpdD;gallate decarboxylase subunit D,gallate conversion to pyrogallol (anoxic),polyphenols;phenolic_acids;hydroxybenzoic_acids;gallic_acid,step 1 subunit D,gallate => pyrogallol,anoxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_959237,WT_drawdown_cm,WT_drawdown_cm,-2.750081861546642,0.7899528968156939,0.0018501016656733934,WT_drawdown_cm,0.0272660109340918,28,13,-4.298389539305402,-1.2017741837878817,Confirmatory (FDR < 0.05), 971068,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_1,  25,  19378,  19755,-1,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],Carboxymuconolactone decarboxylase family [PF02627.25],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],A,  40.0,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],protocatechuic acid degradation- ortho-cleavage (oxic),polyphenols;phenolic_acids;hydroxybenzoic_acids;protocatechuic_acid,step 3,4-Carboxymuconolactone => 3-Oxoadipate enol-lactone,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_960007,WT_drawdown_cm,WT_drawdown_cm,-4.43711156214169,1.2893730673498969,0.002044950820056885,WT_drawdown_cm,0.0272660109340918,28,18,-6.964282774147488,-1.9099403501358925,Confirmatory (FDR < 0.05), 971860,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_2,  97,  76518,  77672,-1,K10977,methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-],HMGL-like [PF00682.24]; Homocitrate synthase post-HMGL domain-like [PF22617.1],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01666,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],A, 158.7,mhpE; 4-hydroxy-2-oxovalerate aldolase,trans-cinnamate degradation (oxic),polyphenols;phenolic_acids;hydrxoycinnamic_acids;trans-cinnamate,step 6,4-hydroxy-2-oxovalerate => pyruvate + acetaldehyde,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_960008,WT_drawdown_cm,WT_drawdown_cm,-4.43711156214169,1.2893730673498969,0.002044950820056885,WT_drawdown_cm,0.0272660109340918,28,18,-6.964282774147488,-1.9099403501358925,Confirmatory (FDR < 0.05), 971861,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_2,  97,  76518,  77672,-1,K10977,methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-],HMGL-like [PF00682.24]; Homocitrate synthase post-HMGL domain-like [PF22617.1],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01666,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],A, 158.7,mhpE; 4-hydroxy-2-oxovalerate aldolase,phenylpropionate degradation (oxic),polyphenols;phenolic_acids;hydroxyphenylpropanoic_acids;3-phenylpropionic_acid,step 6,4-hydroxy-2-oxovalerate => pyruvate + acetaldehyde,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_960009,WT_drawdown_cm,WT_drawdown_cm,-4.43711156214169,1.2893730673498969,0.002044950820056885,WT_drawdown_cm,0.0272660109340918,28,18,-6.964282774147488,-1.9099403501358925,Confirmatory (FDR < 0.05), 971862,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_2,  97,  76518,  77672,-1,K10977,methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-],HMGL-like [PF00682.24]; Homocitrate synthase post-HMGL domain-like [PF22617.1],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01666,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],A, 158.7,mhpE; 4-hydroxy-2-oxovalerate aldolase,catechol degradation- meta-cleavage route 2 (oxic),polyphenols;other_polyphenols;other_polyphenols;catechol,route 2 step 4 ,4-hydroxy-2-oxovalerate => pyruvate + acetaldehyde,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_960010,WT_drawdown_cm,WT_drawdown_cm,-4.43711156214169,1.2893730673498969,0.002044950820056885,WT_drawdown_cm,0.0272660109340918,28,18,-6.964282774147488,-1.9099403501358925,Confirmatory (FDR < 0.05), 971863,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_2,  97,  76518,  77672,-1,K10977,methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-],HMGL-like [PF00682.24]; Homocitrate synthase post-HMGL domain-like [PF22617.1],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01666,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],A, 158.7,mhpE; 4-hydroxy-2-oxovalerate aldolase,4-methylcatechol degradation- meta-cleavage route 2 (oxic),polyphenols;other_polyphenols;other_polyphenols;4-methylcatechol,route 2 step 4,4-Hydroxy-2-oxohexanoic acid => Propanal + Pyruvate,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_584881,WT_drawdown_cm,WT_drawdown_cm,-2.002093948248551,0.621924930867555,0.0035451254307842374,WT_drawdown_cm,0.039782039737239684,28,12,-3.221066812748959,-0.7831210837481435,Confirmatory (FDR < 0.05), 591991,Peat-17-2-2020_S27-spades_metabat.18,Peat-17-2-2020_S27-spades_metabat.18_21,   1,     94,   1029, 1,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",Pirin [PF02678.21]; Pirin C-terminal cupin domain [PF05726.18],,,,,Peat-17-2-2020_S27-spades_metabat.18.renamed,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",A, 283.8,"QueD;quercetin-2,3-dioxygenase",quercetin degradation (oxic),polyphenols;flavonoids;flavonols;quercetin,step 1,"quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",oxic,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,SPRUCE 2026
Gene_960936,WT_drawdown_cm,WT_drawdown_cm,-2.5458337063965213,0.8085638334290705,0.004213689869118696,WT_drawdown_cm,0.039782039737239684,28,15,-4.130618819917499,-0.9610485928755432,Confirmatory (FDR < 0.05), 972792,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_5,  34,  28533,  30572, 1,K22516,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],Molybdopterin oxidoreductase [PF00384.27]; Molydopterin dinucleotide binding domain [PF01568.26]; Molybdopterin oxidoreductase Fe4S4 domain [PF04879.21],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,D00012,D00012;Cldh,B, 162.0,CLD; catechol lignan dehydroxylase,pinoresinol conversion route 1 (anoxic),polyphenols;lignans;lignans;pinoresinol,route 1 step 3,didemethyl-secoisolariciresional => enterodiol,anoxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
Gene_961084,WT_drawdown_cm,WT_drawdown_cm,-2.5527585830058483,0.8201343019584146,0.00459945692698388,WT_drawdown_cm,0.039782039737239684,28,15,-4.160221814844341,-0.9452953511673556,Confirmatory (FDR < 0.05), 972940,Peat-6-2-2020_S21-spades_concoct.115,Peat-6-2-2020_S21-spades_concoct.115_6,  10,   9279,   9632,-1,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],Carboxymuconolactone decarboxylase family [PF02627.25],,,,,Peat-6-2-2020_S21-spades_concoct.115.renamed,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],A,  22.0,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],protocatechuic acid degradation- ortho-cleavage (oxic),polyphenols;phenolic_acids;hydroxybenzoic_acids;protocatechuic_acid,step 3,4-Carboxymuconolactone => 3-Oxoadipate enol-lactone,oxic,,Archaea,Halobacteriota,Bog-38,Bog-38,Bog-38,Bog-38,Bog-38 sp003139855,SPRUCE 510
