Gene,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,CI_lower,CI_upper,evidence,X,fasta,scaffold,gene_position,start_position,end_position,strandedness,ko_id,kegg_hit,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,bin_taxonomy,CAMPER_id,CAMPER_hits,CAMPER_rank,CAMPER_bitScore,CAMPER_gene_description,CAMPER_module,CAMPER_header,CAMPER_subheader,CAMPER_specific_reaction,CAMPER_oxygen,CAMPER_Notes,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID
Gene_1109310,AvgTemp10cm,AvgTemp10cm,1.0377633133706328,0.3487068390635003,0.0063955935413168115,AvgTemp10cm,0.2783596480193799,28,10,0.3542979088061722,1.7212287179350934,Exploratory (nominal P < 0.05 only),1123000,Peat-8-2-2021_S31-idba_metabat.52,Peat-8-2-2021_S31-idba_metabat.52_75,  25,  23542,  24345, 1,,,"Cytochrome c-type protein NrfB-like [PF22678.1]; Outer membrane cytochrome MtrC/MtrF-like, domains II/IV [PF22113.1]; Doubled CXXCH motif (Paired_CXXCH_1) [PF09699.15]; Cytochrome c554 and c-prime [PF13435.11]; Cytochrome c3 [PF14537.11]; Class III cytochrome C family [PF02085.21]",,,,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,SPRUCE 2313
Gene_632914,AvgTemp10cm,AvgTemp10cm,1.3348860725016793,0.4762942572732863,0.009649560070359631,AvgTemp10cm,0.2819702545095381,28,16,0.4013493282460382,2.2684228167573206,Exploratory (nominal P < 0.05 only), 640773,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_197,   3,   3093,   3848, 1,K02195,heme exporter protein C,Cytochrome C assembly protein [PF01578.25],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_634865,AvgTemp10cm,AvgTemp10cm,2.07572341148625,0.8292863789073539,0.0192122295657652,AvgTemp10cm,0.3200612958641694,28,18,0.4503221088278364,3.7011247141446635,Exploratory (nominal P < 0.05 only), 642758,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_409,   4,   1786,   2664,-1,K02276,cytochrome c oxidase subunit III [EC:7.1.1.9],Cytochrome c oxidase subunit III [PF00510.23],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_634487,AvgTemp10cm,AvgTemp10cm,1.4862818372171145,0.5969991774386646,0.019800237036551354,AvgTemp10cm,0.3200612958641694,28,18,0.316163449437332,2.656400224996897,Exploratory (nominal P < 0.05 only), 642356,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_357,   4,   2226,   2738,-1,,,Cytochrome c [PF00034.26],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_632626,AvgTemp10cm,AvgTemp10cm,1.2251504730608036,0.506356992535987,0.023144630798093962,AvgTemp10cm,0.32516263301393583,28,25,0.23269076769026908,2.2176101784313382,Exploratory (nominal P < 0.05 only), 640485,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_173,  10,   7373,   8797,-1,K06196,cytochrome c-type biogenesis protein,Cytochrome C biogenesis protein transmembrane region [PF02683.20],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_636029,AvgTemp10cm,AvgTemp10cm,1.4492642841950363,0.6045721968459347,0.024317479790857712,AvgTemp10cm,0.32516263301393583,28,21,0.26430277837700444,2.634225790013068,Exploratory (nominal P < 0.05 only), 643930,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_92,  10,   7230,   9173, 1,,,Thioredoxin like C-terminal domain [PF17991.6]; Cytochrome C biogenesis protein transmembrane region [PF02683.20]; Redoxin [PF08534.15]; AhpC/TSA family [PF00578.26]; Thioredoxin-like [PF13905.11],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_635751,AvgTemp10cm,AvgTemp10cm,1.28525414183652,0.5399470716270466,0.025236322951131342,AvgTemp10cm,0.32516263301393583,28,13,0.2269578814475086,2.3435504022255316,Exploratory (nominal P < 0.05 only), 643650,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_77,  10,   9921,  10472, 1,K22622,S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6],"Cytochrome C oxidase, cbb3-type, subunit III [PF13442.11]; Cytochrome c [PF00034.26]",,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_632076,AvgTemp10cm,AvgTemp10cm,1.2537972219322986,0.5276975084032371,0.025479161542136763,AvgTemp10cm,0.32516263301393583,28,19,0.2195101054619537,2.2880843384026432,Exploratory (nominal P < 0.05 only), 639934,Peat-17-2-2022_S46-idba_metabat.23_sub,Peat-17-2-2022_S46-idba_metabat.23_sub_133,   4,   3720,   5360,-1,,,Cytochrome C and Quinol oxidase polypeptide I [PF00115.25],,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcus sp003164825,SPRUCE 397
Gene_1107794,AvgTemp10cm,AvgTemp10cm,0.32426416133886565,0.12913387583733998,0.03148039268366175,AvgTemp10cm,0.3651802868420936,28,4,0.07116176469767926,0.577366557980052,Exploratory (nominal P < 0.05 only),1121478,Peat-8-2-2021_S31-idba_metabat.52,Peat-8-2-2021_S31-idba_metabat.52_35,  19,  19532,  21859, 1,K15862,cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9],"Cytochrome C and Quinol oxidase polypeptide I [PF00115.25]; Cytochrome C oxidase, mono-heme subunit/FixO [PF02433.20]",,,,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,SPRUCE 2313
Gene_1107480,AvgTemp10cm,AvgTemp10cm,0.5582481443018685,0.2300984485456311,0.03538984634550961,AvgTemp10cm,0.3651802868420936,28,4,0.1072551851524316,1.0092411034513056,Exploratory (nominal P < 0.05 only),1121164,Peat-8-2-2021_S31-idba_metabat.52,Peat-8-2-2021_S31-idba_metabat.52_3,  52,  56492,  57454,-1,,,Planctomycete cytochrome C [PF07635.16]; Predicted membrane protein (DUF2231) [PF09990.14],,,,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,,,,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,SPRUCE 2313
