Gene,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,CI_lower,CI_upper,evidence,X,fasta,scaffold,gene_position,start_position,end_position,strandedness,ko_id,kegg_hit,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,bin_taxonomy,CAMPER_id,CAMPER_hits,CAMPER_rank,CAMPER_bitScore,CAMPER_gene_description,CAMPER_module,CAMPER_header,CAMPER_subheader,CAMPER_specific_reaction,CAMPER_oxygen,CAMPER_Notes,Domain,Phylum,Class,Order,Family,Genus,Species,SPRUCE_ID
Gene_321139,AvgTemp10cm,AvgTemp10cm,1.1915508112853865,0.3437456062732579,0.0019206599479549304,AvgTemp10cm,0.2379291356416465,28,23,0.517809422989801,1.865292199580972,Exploratory (nominal P < 0.05 only), 324958,Peat-11-2-2022_S43-idba_metabat.25,Peat-11-2-2022_S43-idba_metabat.25_27,  35,  30646,  32898, 1,K03782,catalase-peroxidase [EC:1.11.1.21],Peroxidase [PF00141.28],AA2,AA2 manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-); cytochrome-c peroxidase (EC 1.11.1.5); ascorbate peroxidase (EC 1.11.1.11),"1.11.1.11,1.11.1.13,1.11.1.14,1.11.1.16,1.11.1.5,1.11.1.-",AA2.hmm,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Sulfotelmatobacter;s__,K03782,katG; catalase-peroxidase [EC:1.11.1.21],A,1480.4,AA2 manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-),peroxidase (non-specific),non-specific;non-specific;non-specific,step 1,non-specific,oxic,extracellular,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,,SPRUCE 124
Gene_319180,AvgTemp10cm,AvgTemp10cm,1.341304902493314,0.4181481240837946,0.003646243326356375,AvgTemp10cm,0.35452704342418906,28,18,0.5217345792890765,2.160875225697551,Exploratory (nominal P < 0.05 only), 322993,Peat-11-2-2022_S43-idba_metabat.25,Peat-11-2-2022_S43-idba_metabat.25_10,  50,  51937,  53382,-1,,,Aldehyde dehydrogenase family [PF00171.27],,,,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Sulfotelmatobacter;s__,K19629,4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],B, 239.4,tsaD; 4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],toluene-4-sulfonate conversion to protocatechuic acid (oxic),non-polyphenol;aromatic_hydrocarbon;toluene-4-sulfonate,step 2,4-Sulfobenzyl alcohol => 4-formylbenzenesulfonate,oxic,,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,,SPRUCE 124
Gene_320734,AvgTemp10cm,AvgTemp10cm,1.9593985352385932,0.6885475492922558,0.008719823140810653,AvgTemp10cm,0.7347904299989777,28,19,0.6098453386257718,3.3089517318514146,Exploratory (nominal P < 0.05 only), 324552,Peat-11-2-2022_S43-idba_metabat.25,Peat-11-2-2022_S43-idba_metabat.25_21,  65,  79689,  80867, 1,K00632,acetyl-CoA acyltransferase [EC:2.3.1.16],"Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]; Thiolase C-terminal domain-like [PF22691.1]; PRMT5 arginine-N-methyltransferase [PF05185.21]",,,,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Sulfotelmatobacter;s__,K00632,acetyl-CoA acyltransferase [EC:2.3.1.16],A, 546.2,fadA; acetyl-CoA acyltransferase [EC:2.3.1.16],ethylbenzene conversion to benzoyl-coa (anoxic),non-polyphenol;aromatic_hydrocarbon;ethylbenzene,step 5,Benzoylacetyl-CoA => Benzoyl-CoA + Acteyl-CoA,anoxic,,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,,SPRUCE 124
Gene_109812,AvgTemp10cm,AvgTemp10cm,1.6601056730795465,0.5128209771133723,0.010233546892354037,AvgTemp10cm,0.750701537768703,28,15,0.6549765579373368,2.665234788221756,Exploratory (nominal P < 0.05 only), 111013,Peat-10-2-2022_S42-idba_metabat.12,Peat-10-2-2022_S42-idba_metabat.12_10,  12,  19498,  20280, 1,K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15],,,,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-343;s__,D00023,PGR;phloroglucinol reductase,B, 273.8,PGR;phloroglucinol reductase,phloroglucinol degradation (anoxic),polyphenols;other_polyphenols;other_polyphenols;phloroglucinol,step 1,phloroglucinol => dihydrophloroglucinol,anoxic,,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Palsa-343,,SPRUCE 2060
Gene_511509,AvgTemp10cm,AvgTemp10cm,1.1595357372828552,0.41645576528593764,0.01917088091213626,AvgTemp10cm,0.750701537768703,28,7,0.3432824373224175,1.975789037243293,Exploratory (nominal P < 0.05 only), 517625,Peat-16-2-2021_S35-spades_maxbin.012,Peat-16-2-2021_S35-spades_maxbin.012_4,  24,  23211,  24011, 1,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",Pirin [PF02678.21]; Pirin C-terminal cupin domain [PF05726.18],,,,,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",A, 271.9,"QueD;quercetin-2,3-dioxygenase",quercetin degradation (oxic),polyphenols;flavonoids;flavonols;quercetin,step 1,"quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",oxic,,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,,SPRUCE 2159
Gene_97261,AvgTemp10cm,AvgTemp10cm,0.7937483939481509,0.2875316763061554,0.020290286959705067,AvgTemp10cm,0.750701537768703,28,6,0.2301863083880863,1.3573104795082154,Exploratory (nominal P < 0.05 only),  98313,Peat-10-2-2022_S42-idba_concoct.73_sub,Peat-10-2-2022_S42-idba_concoct.73_sub_116,   4,   3257,   4021,-1,K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15],,,,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__,D00023,PGR;phloroglucinol reductase,B, 266.4,PGR;phloroglucinol reductase,phloroglucinol degradation (anoxic),polyphenols;other_polyphenols;other_polyphenols;phloroglucinol,step 1,phloroglucinol => dihydrophloroglucinol,anoxic,,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,,,SPRUCE 2057
Gene_98930,AvgTemp10cm,AvgTemp10cm,0.9465815048466344,0.3864963382703054,0.021672676151466792,AvgTemp10cm,0.750701537768703,28,11,0.18904868183683587,1.7041143278564328,Exploratory (nominal P < 0.05 only),  99991,Peat-10-2-2022_S42-idba_concoct.73_sub,Peat-10-2-2022_S42-idba_concoct.73_sub_26,   4,   3807,   4718, 1,K00455,"3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]",Catalytic LigB subunit of aromatic ring-opening dioxygenase [PF02900.23],,,,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__,K00455,"3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]",A, 276.6,"hpaD;3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]",homoprotocatechuic acid degradation (oxic),polyphenols;phenolic_acids;hydroxyphenylacetic_acids;homoprotocatechuic_acid,step 1,"3,4-dihydroxyphenylacetate => 2-Hydroxy-5-carboxymethylmuconate semialdehyde",oxic,,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,,,SPRUCE 2057
Gene_321568,AvgTemp10cm,AvgTemp10cm,1.2748271296181681,0.5246514144602766,0.02262138099124914,AvgTemp10cm,0.750701537768703,28,25,0.24651035727602588,2.3031439019603104,Exploratory (nominal P < 0.05 only), 325416,Peat-11-2-2022_S43-idba_metabat.25,Peat-11-2-2022_S43-idba_metabat.25_30,  73,  71203,  72738, 1,K22187,alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-],Aldehyde dehydrogenase family [PF00171.27],,,,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Sulfotelmatobacter;s__,K19629,4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],B, 232.4,tsaD; 4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC:1.1.1.257],toluene-4-sulfonate conversion to protocatechuic acid (oxic),non-polyphenol;aromatic_hydrocarbon;toluene-4-sulfonate,step 2,4-Sulfobenzyl alcohol => 4-formylbenzenesulfonate,oxic,,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,,SPRUCE 124
Gene_321087,AvgTemp10cm,AvgTemp10cm,1.5575142818574892,0.5809804504158632,0.024858616082194498,AvgTemp10cm,0.750701537768703,28,18,0.4187925990423973,2.696235964672581,Exploratory (nominal P < 0.05 only), 324906,Peat-11-2-2022_S43-idba_metabat.25,Peat-11-2-2022_S43-idba_metabat.25_26,  78, 105236, 106141, 1,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",Pirin [PF02678.21]; Pirin C-terminal cupin domain [PF05726.18],,,,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Sulfotelmatobacter;s__,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",A, 306.8,"QueD;quercetin-2,3-dioxygenase",quercetin degradation (oxic),polyphenols;flavonoids;flavonols;quercetin,step 1,"quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",oxic,,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,,SPRUCE 124
Gene_100683,AvgTemp10cm,AvgTemp10cm,0.5097206246263004,0.21510150746604575,0.025834265602297565,AvgTemp10cm,0.750701537768703,28,8,0.08812166999285076,0.9313195792597501,Exploratory (nominal P < 0.05 only), 101780,Peat-10-2-2022_S42-idba_concoct.73_sub,Peat-10-2-2022_S42-idba_concoct.73_sub_86,   4,   4409,   6031,-1,K15513,benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44],Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10],,,,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__,K15513,benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44],A, 810.1,boxC; benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44],benzoyl-coa degradation (oxic),non-polyphenol;aromatic_hydrocarbon;benzoyl-coa,step 2,"2,3-epoxy-2,3-dihydrobenzoyl-CoA => (3Z)-6-oxohex-3-enoyl-CoA + formate",oxic,,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,,,SPRUCE 2057
